Classes,UC Berkely B.A (Non Artic),UC Berkely B.A,UC Santa Cruz B.A (Non Artic),UC Santa Cruz B.A,UC Santa Barbra B.S (Non Artic),UC Santa Barbra B.S
MATH,,MATH 3A,,MATH 3A,,MATH 3A
,,MATH 3B,,MATH 3B,,MATH 3B
,,MATH 3C,,MATH 3E,,MATH 3C
,,MATH 3E,,MATH 3C,,MATH 3E
,,MATH 3F,,,,MATH 3F
,,,,,,MATH 11
CIS,COMPSCI 61C,CIS 61,,CIS 20,,CIS 20
,,CIS 25,,CIS 25,,CIS 25
,,CIS 27,,CIS 27,,CIS 27
,,,,,,
,,,,,,
,,,,,,
PHYS,,,,,,PHYS 4A
,,,,,,PHYS 4B
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Special,,,,,,
