Classes,"University of California, Berkeley, Computer Science, Lower Division B.A.","University of California, Berkeley, Electrical Engineering & Computer Sciences, Lower Division B.S.","University of California, Davis, Computer Engineering B.S.","University of California, Davis, Computer Science & Engineering B.S.","University of California, Davis, Computer Science B.S.","University of California, Irvine, Computer Engineering, B.S.","University of California, Irvine, Computer Science and Engineering, B.S.","University of California, Irvine, Computer Science, B.S.","University of California, Los Angeles, Computer Engineering/B.S.","University of California, Los Angeles, Computer Science and Engineering/B.S.","University of California, Los Angeles, Computer Science/B.S.","University of California, Los Angeles, Linguistics and Computer Science/B.A.","University of California, Merced, Applied Mathematical Sciences, Computer Science Emphasis, B.S.","University of California, Merced, Computer Science and Engineering, B.S.","University of California, Riverside, Computer Engineering, B.S.","University of California, Riverside, Computer Science with Business Applications B.S.","University of California, Riverside, Computer Science, B.S.","University of California, San Diego, Art: Interdisciplinary Computing in the Arts Major (ICAM) B.A. (Visual Arts)","University of California, San Diego, CSE: Computer Engineering B.S.","University of California, San Diego, CSE: Computer Science B.S.","University of California, San Diego, CSE: Computer Science with a Specialization in Bioinformatics B.S.","University of California, San Diego, ECE: Computer Engineering B.S.","University of California, San Diego, Mathematics/Computer Science B.S.","University of California, San Diego, Music: Interdisciplinary Computing in the Arts Major (ICAM) B.A.","University of California, Santa Barbara, Computer Engineering, B.S.","University of California, Santa Barbara, Computer Science, B.S.","University of California, Santa Barbara, Creative Studies - Computing, B.S.","University of California, Santa Cruz, Computer Engineering B.S.","University of California, Santa Cruz, Computer Engineering B.S.","University of California, Santa Cruz, Computer Science B.A.","University of California, Santa Cruz, Computer Science B.S.","University of California, Santa Cruz, Computer Science B.S.","University of California, Santa Cruz, Computer Science: Computer Game Design B.S.","California Polytechnic University, Pomona, Computer Science, B.S.","California Polytechnic University, San Luis Obispo, COMPUTER ENGINEERING, B.S.","California Polytechnic University, San Luis Obispo, COMPUTER SCIENCE, B.S.","California State University, Bakersfield, Computer Engineering, B.S.","California State University, Bakersfield, Computer Science, B.S.","California State University, Channel Islands, Computer Science, B.S.","California State University, Chico, Computer Animation and Game Development B.S. - Animation Production Option","California State University, Chico, Computer Animation and Game Development B.S. - Game Development Option","California State University, Chico, Computer Engineering B.S.","California State University, Chico, Computer Information Systems B.S.","California State University, Chico, Computer Science B.S.","California State University, Dominguez Hills, Computer Science B.S.","California State University, Dominguez Hills, Computer Technology B.A. General Track","California State University, Dominguez Hills, Computer Technology B.A. Homeland Security Track","California State University, Dominguez Hills, Computer Technology B.A. Professional Track","California State University, East Bay, Computer Engineering, B.S.","California State University, East Bay, Computer Science, B.S.","California State University, Fresno, Computer Engineering (B.S.)","California State University, Fresno, Computer Science (B.S.)","California State University, Fresno, Computer Science (B.S.)","California State University, Fullerton, Computer Engineering, B.S.","California State University, Fullerton, Computer Science, B.S.","California State University, Fullerton, Computer Science, B.S.","California State University, Fullerton, Computer Science, B.S.","California State University, Fullerton, Computer Science, B.S.","California State University, Los Angeles, Computer Information Systems - B.S.","California State University, Los Angeles, Computer Science - B.S.","California State University, Monterey Bay, Computer Science B.S.","California State University, Northridge, COMPUTER ENGINEERING, B.S.","California State University, Northridge, COMPUTER INFORMATION TECHNOLOGY, B.S.","California State University, Northridge, COMPUTER SCIENCE, B.S.","California State University, Northridge, INFORMATION SYSTEMS, B.S. - Option in Computer Information Technology","California State University, Northridge, INFORMATION SYSTEMS, B.S. - Option in Computer Information Technology","California State University, Northridge, INFORMATION SYSTEMS, B.S. - Option in Computer Information Technology","CSU San Bernardino |, ====Computer Engineering - B.S.====","CSU San Bernardin, nce - B.S.","CSU San Bernardino |, ====Computer Systems - B.A.====","CSU San Bernardino |, ====Computer Systems - B.A.====","CSU San Bernardino |, ====Computer Systems - B.A.====","Sonoma State University, Computer Science B.S.","California State University, Stanislaus, Computer Science B.S.","California State University, Stanislaus, Computer Science B.S.","California State University, Stanislaus, Computer Science B.S.","San Francisco State University, Computer Engineering, B.S.","San Francisco State University, Computer Science, B.S.","San Jose State University, Computer Science, B.S.","San Jose State University, Engineering - Computer Engineering, B.S.","San Jose State University, Engineering Technology, Concentration in Computer Network System Management, B.S.","San Jose State University, Engineering Technology, Concentration in Computer Network System Management, B.S.","California Polytechnic University, Humboldt, Computer Science B.S.","California Polytechnic University, Pomona, Business Administration, B.S. - Computer Information Systems Option","California Polytechnic University, Pomona, Computer Engineering, B.S."
MATH,MATH 3A,MATH 1B,MATH 021A,None,None,MATH 3B,MATH 2B,MATH 3A,MATH 3A,MATH 318,MATH 3A,MATH 3A,MATH 3A,MATH 021,MATH 9A,MATH 9A,MATH 9A,MATH 16A,MATH As:,MATH 11,MATH 3,MATH 11,None,None,MATH 3A,MATH 3A,None,MATH 3A,None,MATH 3A,MATH 3A,None,MATH 11,MATH 11,None,None,MATH 3A,MATH 2310,MATH 150,None,None,MATH 120,MATH 105,MATH 120,None,MATH 153,MATH 131,None,MATH 11,MATH 11,MATH 76,None,None,None,MATH 3A,None,None,None,None,None,MATH 170,MATH 150A,MATH 103,MATH 150A,MATH 103,MATH 3A,MATH 31,None,None,None,MATH 270,None,MATH 161,MATH 1420,None,None,MATH 226,None,MATH 30,MATH 30,MATH 71,None,MATH 2,MATH 168,MATH 1150
None,MATH 3B,MATH 53,MATH 021C,None,None,MATH 3C,MATH 3A,MATH 3B,MATH 3B,MATH 32A,MATH 3C,MATH 3B,MATH 3B,MATH 022,MATH BB,MATH 9B,MATH BB,MATH 11,MATH 18,MATH 3,MATH 3B,MATH 290A,None,None,MATH 3B,MATH 3B,None,MATH 3B,None,MATH 3B,MATH 3B,None,MATH 3A,MATH 1150,None,None,MATH 3B,MATH 2510,MATH 151,None,None,MATH 121,MATH 16A,MATH 3B,None,None,MATH 2,None,MATH 3A,MATH 3B,MATH 77,None,None,None,MATH 3B,None,None,None,None,None,MATH 150,MATH 250,MATH 150A,MATH 150B,MATH 150A,MATH 3B,MATH 35,None,None,None,MATH 242,None,MATH 13,MATH 3A,None,None,MATH 227,None,MATH 31,MATH 31,MATH 168,None,MATH 50,MATH 1140,MATH 2140
None,MATH 3C,MATH 3A,MATH 021D,None,None,MATH 3F,MATH 3C,None,MATH 32A,MATH 334A,MATH 3F,None,MATH 3C,MATH 3C,MATH 10A,MATH 9C,MATH 10A,MATH 18,MATH 290A,MATH 3A,MATH 3C,MATH 20B,None,None,MATH 3,MATH 3,None,MATH 3,None,MATH 11,MATH 11,None,MATH 3B,None,None,None,MATH 3C,MATH 3B,MATH 3,None,None,MATH 3A,MATH 3A,MATH As:,None,None,None,None,MATH 230,None,MATH 3B,None,None,None,MATH 250A,None,None,None,None,None,None,MATH 280,MATH 13,MATH 3A,MATH As:,MATH 3F,MATH 3A,None,None,None,None,None,MATH 3B,MATH 1600,None,None,MATH 245,None,MATH 339,MATH 22,MATH 30,None,MATH 101,None,MATH 3F
None,MATH 3E,MATH 3B,MATH 3F,None,None,MATH 2A,MATH 3,None,MATH 3C,MATH 338,MATH 318,None,MATH 3E,MATH 3,MATH 10B,MATH 11,MATH 31,MATH 20A,MATH 200,MATH 3B,MATH 20B,MATH 20D,None,None,MATH 3F,MATH 3F,None,MATH <—,None,MATH 3,MATH 3,None,MATH 3,None,None,None,MATH 2532,MATH 13,None,None,None,MATH 3B,MATH 217,MATH 217,None,None,None,None,MATH 3C,None,MATH 3C,None,None,None,MATH 3C,None,None,None,None,None,None,MATH 3A,None,MATH 3B,MATH MATH,None,MATH 3B,None,None,None,None,None,MATH 3,MATH 1602,None,None,MATH 11,None,MATH 32,MATH 33,None,None,MATH 109,None,None
None,MATH 3F,MATH 3,None,None,None,MATH 2D,MATH 3F,None,MATH 3,MATH 3B,MATH 32B,None,MATH 3F,MATH 3F,None,MATH 10A,None,None,MATH 20D,MATH 3C,MATH 200,MATH 3,None,None,MATH 6A,MATH 6A,None,MATH 20,None,MATH 3C,MATH 3C,None,None,None,None,None,MATH MATH,MATH 3C,None,None,None,MATH 217,None,None,None,None,None,None,MATH 3B,None,None,None,None,None,MATH 3F,None,None,None,None,None,None,MATH 3B,None,None,None,None,None,None,None,None,None,None,MATH 3F,MATH 11,None,None,MATH 3A,None,MATH 3B,MATH 3A,None,None,MATH 105,None,None
None,None,MATH 3F,None,None,None,MATH 3A,None,None,MATH 3F,MATH 3C,MATH 334A,None,None,None,None,MATH 10B,None,None,MATH 3,None,None,MATH 3B,None,None,None,None,None,MATH 3C,None,None,None,None,None,None,None,None,MATH 2610,MATH 3F,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MATH 150A,None,None,None,None,None,None,MATH 3F,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MATH 3B,None,MATH 11,MATH 3B,None,None,MATH 11,None,None
None,None,None,None,None,None,MATH 11,None,None,MATH 61,MATH 3E,None,None,None,None,None,MATH 3,None,None,MATH 3A,None,None,MATH 3C,None,None,None,None,None,MATH 11,None,None,None,None,None,None,None,None,None,MATH 3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MATH 1508,None,None,None,None,None,None,MATH 282,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MATH 3E,None,MATH 3C,MATH 11,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,MATH 3F,None,None,None,None,None,None,None,None,MATH 3C,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MATH 2200,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MATH 3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MATH 3F,None,None,MATH 3,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,MATH 61,None,None,None,None,None,None,None,None,MATH 3F,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MATH 1060,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MATH 3A,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
