Classes,"University of California, Berkeley, Computer Science, Lower Division B.A. (Demo)","University of California, Santa Cruz, Computer Science B.A. (Demo)","University of California, Santa Barbara, Computer Science, B.S. (Demo)","University of California, Berkeley, Computer Science, Lower Division B.A.","University of California, Berkeley, Electrical Engineering & Computer Sciences, Lower Division B.S.","University of California, Davis, Computer Engineering B.S.","University of California, Davis, Computer Science & Engineering B.S.","University of California, Davis, Computer Science B.S.","University of California, Irvine, Computer Engineering, B.S.","University of California, Irvine, Computer Science and Engineering, B.S.","University of California, Irvine, Computer Science, B.S.","University of California, Los Angeles, Computer Engineering/B.S.","University of California, Los Angeles, Computer Science and Engineering/B.S.","University of California, Los Angeles, Computer Science/B.S.","University of California, Los Angeles, Linguistics and Computer Science/B.A.","University of California, Merced, Applied Mathematical Sciences, Computer Science Emphasis, B.S.","University of California, Merced, Computer Science and Engineering, B.S.","University of California, Riverside, Computer Engineering, B.S.","University of California, Riverside, Computer Science with Business Applications B.S.","University of California, Riverside, Computer Science, B.S.","University of California, San Diego, Art: Interdisciplinary Computing in the Arts Major (ICAM) B.A. (Visual Arts)","University of California, San Diego, CSE: Computer Engineering B.S.","University of California, San Diego, CSE: Computer Science B.S.","University of California, San Diego, CSE: Computer Science with a Specialization in Bioinformatics B.S.","University of California, San Diego, ECE: Computer Engineering B.S.","University of California, San Diego, Mathematics/Computer Science B.S.","University of California, San Diego, Music: Interdisciplinary Computing in the Arts Major (ICAM) B.A.","University of California, Santa Barbara, Computer Engineering, B.S.","University of California, Santa Barbara, Computer Science, B.S.","University of California, Santa Barbara, Creative Studies - Computing, B.S.","University of California, Santa Cruz, Computer Engineering B.S.","University of California, Santa Cruz, Computer Science B.A.","University of California, Santa Cruz, Computer Science B.S.","University of California, Santa Cruz, Computer Science B.S.","University of California, Santa Cruz, Computer Science: Computer Game Design B.S."
MATH,MATH 3A,MATH 3A,MATH 3A,MATH 3A,MATH 1B,MATH 021A,None,None,MATH 3B,MATH 2B,MATH 3A,MATH 3A,MATH 318,MATH 3A,MATH 3A,MATH 3A,MATH 021,MATH 9A,MATH 9A,MATH 9A,MATH 16A,MATH As:,MATH 11,MATH 3,MATH 11,None,None,MATH 3A,MATH 3A,None,MATH 3A,MATH 3A,MATH 3A,None,MATH 11
None,MATH 3B,MATH 3B,MATH 3B,MATH 3B,MATH 53,MATH 021C,None,None,MATH 3C,MATH 3A,MATH 3B,MATH 3B,MATH 32A,MATH 3C,MATH 3B,MATH 3B,MATH 022,MATH BB,MATH 9B,MATH BB,MATH 11,MATH 18,MATH 3,MATH 3B,MATH 290A,None,None,MATH 3B,MATH 3B,None,MATH 3B,MATH 3B,MATH 3B,None,MATH 3A
None,MATH 3C,MATH 3E,MATH 3C,MATH 3C,MATH 3A,MATH 021D,None,None,MATH 3F,MATH 3C,None,MATH 32A,MATH 334A,MATH 3F,None,MATH 3C,MATH 3C,MATH 10A,MATH 9C,MATH 10A,MATH 18,MATH 290A,MATH 3A,MATH 3C,MATH 20B,None,None,MATH 3,MATH 3,None,MATH 3,MATH 11,MATH 11,None,MATH 3B
None,MATH 3E,MATH 3C,MATH 3E,MATH 3E,MATH 3B,MATH 3F,None,None,MATH 2A,MATH 3,None,MATH 3C,MATH 338,MATH 318,None,MATH 3E,MATH 3,MATH 10B,MATH 11,MATH 31,MATH 20A,MATH 200,MATH 3B,MATH 20B,MATH 20D,None,None,MATH 3F,MATH 3F,None,MATH <—,MATH 3,MATH 3,None,MATH 3
None,MATH 3F,None,MATH 3F,MATH 3F,MATH 3,None,None,None,MATH 2D,MATH 3F,None,MATH 3,MATH 3B,MATH 32B,None,MATH 3F,MATH 3F,None,MATH 10A,None,None,MATH 20D,MATH 3C,MATH 200,MATH 3,None,None,MATH 6A,MATH 6A,None,MATH 20,MATH 3C,MATH 3C,None,None
None,None,None,MATH 11,None,MATH 3F,None,None,None,MATH 3A,None,None,MATH 3F,MATH 3C,MATH 334A,None,None,None,None,MATH 10B,None,None,MATH 3,None,None,MATH 3B,None,None,None,None,None,MATH 3C,None,None,None,None
None,None,None,None,None,None,None,None,None,MATH 11,None,None,MATH 61,MATH 3E,None,None,None,None,None,MATH 3,None,None,MATH 3A,None,None,MATH 3C,None,None,None,None,None,MATH 11,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,MATH 3F,None,None,None,None,None,None,None,None,MATH 3C,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,MATH 61,None,None,None,None,None,None,None,None,MATH 3F,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
